name,latitude,longitude,review_count,rating,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,verified,Friday_morning,Friday_afternoon,Friday_evening,Saturday_morning,Saturday_afternoon,Saturday_evening,Sunday_morning,Sunday_afternoon,Sunday_evening,Monday_morning,Monday_afternoon,Monday_evening,Tuesday_morning,Tuesday_afternoon,Tuesday_evening,Wednesday_morning,Wednesday_afternoon,Wednesday_evening,Thursday_morning,Thursday_afternoon,Thursday_evening,Website_known,Phone_known,main_category,geo_cluster
Lead Handyman Services,25.3247963,55.417346,-0.13523071919575302,1.0611465350493527,8-11 AM,8 AM-6 PM,8 AM-6 PM,8 AM-6 AM,8 AM-6 PM,6 AM-6 PM,8 AM-6 PM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Service,0
Sunil Ambalavelil - Lawyer and Legal Consultant in Dubai,25.1881895,55.2713409,-0.13669884762060988,1.0611465350493527,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Attorney,0
Action,52.1864314,5.2937577,0.06464447921690329,-0.28058792587386666,8:30 AM-9 PM,8:30 AM-6 PM,10 AM-6 PM,8:30 AM-8 PM,8:30 AM-8 PM,8:30 AM-8 PM,8:30 AM-9 PM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Shop,1
LIFE Pharmacy - Hala 7,25.3198952,55.3852633,-0.10943360544469663,0.31573850120312,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Pharmacy,0
درب لتاجير السيارات,25.3840232,55.4619067,-0.10670708122710532,0.9120649282801067,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Service,0
N R I jewellery L.L.C,25.2737112,55.2999215,-0.12914847286420314,0.7629833215108593,3-10 PM,10 AM-10 PM,10 AM-10 PM,10 AM-10 PM,10 AM-10 PM,10 AM-10 PM,10 AM-10 PM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Jeweler,0
N R I jewellery L.L.C,25.2737112,55.2999215,-0.12914847286420314,0.7629833215108593,3-10 PM,10 AM-10 PM,10 AM-10 PM,10 AM-10 PM,10 AM-10 PM,10 AM-10 PM,10 AM-10 PM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Jeweler,0
N R I jewellery L.L.C,25.2737112,55.2999215,-0.12914847286420314,0.7629833215108593,3-10 PM,10 AM-10 PM,10 AM-10 PM,10 AM-10 PM,10 AM-10 PM,10 AM-10 PM,10 AM-10 PM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Jeweler,0
N R I jewellery L.L.C,25.2737112,55.2999215,-0.12914847286420314,0.7629833215108593,3-10 PM,10 AM-10 PM,10 AM-10 PM,10 AM-10 PM,10 AM-10 PM,10 AM-10 PM,10 AM-10 PM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Jeweler,0
N R I jewellery L.L.C,25.2737112,55.2999215,-0.12914847286420314,0.7629833215108593,3-10 PM,10 AM-10 PM,10 AM-10 PM,10 AM-10 PM,10 AM-10 PM,10 AM-10 PM,10 AM-10 PM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Jeweler,0
AL ROMAIZAN JEWELLERY,25.2737112,55.2999215,-0.12222729600416361,-0.13150631910461932,Closed,10 AM-6 PM,10 AM-6 PM,10 AM-6 PM,10 AM-6 PM,10 AM-6 PM,10 AM-4 PM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Store,0
AL ROMAIZAN JEWELLERY,25.2737112,55.2999215,-0.12222729600416361,-0.13150631910461932,Closed,10 AM-6 PM,10 AM-6 PM,10 AM-6 PM,10 AM-6 PM,10 AM-6 PM,10 AM-4 PM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Store,0
AL ROMAIZAN JEWELLERY,25.2737112,55.2999215,-0.12222729600416361,-0.13150631910461932,Closed,10 AM-6 PM,10 AM-6 PM,10 AM-6 PM,10 AM-6 PM,10 AM-6 PM,10 AM-4 PM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Store,0
AL ROMAIZAN JEWELLERY,25.2737112,55.2999215,-0.12222729600416361,-0.13150631910461932,Closed,10 AM-6 PM,10 AM-6 PM,10 AM-6 PM,10 AM-6 PM,10 AM-6 PM,10 AM-4 PM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Store,0
AL ROMAIZAN JEWELLERY,25.2737112,55.2999215,-0.12222729600416361,-0.13150631910461932,Closed,10 AM-6 PM,10 AM-6 PM,10 AM-6 PM,10 AM-6 PM,10 AM-6 PM,10 AM-4 PM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Store,0
7Cs Diamond & Jewellery Trading LLC,25.2737112,55.2999215,-0.13124579918542723,0.16665689443387402,Closed,10 AM-7 PM,10 AM-7 PM,10 AM-7 PM,10 AM-7 PM,10 AM-7 PM,10 AM-7 PM,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Jeweler,0
7Cs Diamond & Jewellery Trading LLC,25.2737112,55.2999215,-0.13124579918542723,0.16665689443387402,Closed,10 AM-7 PM,10 AM-7 PM,10 AM-7 PM,10 AM-7 PM,10 AM-7 PM,10 AM-7 PM,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Jeweler,0
7Cs Diamond & Jewellery Trading LLC,25.2737112,55.2999215,-0.13124579918542723,0.16665689443387402,Closed,10 AM-7 PM,10 AM-7 PM,10 AM-7 PM,10 AM-7 PM,10 AM-7 PM,10 AM-7 PM,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Jeweler,0
7Cs Diamond & Jewellery Trading LLC,25.2737112,55.2999215,-0.13124579918542723,0.16665689443387402,Closed,10 AM-7 PM,10 AM-7 PM,10 AM-7 PM,10 AM-7 PM,10 AM-7 PM,10 AM-7 PM,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Jeweler,0
7Cs Diamond & Jewellery Trading LLC,25.2737112,55.2999215,-0.13124579918542723,0.16665689443387402,Closed,10 AM-7 PM,10 AM-7 PM,10 AM-7 PM,10 AM-7 PM,10 AM-7 PM,10 AM-7 PM,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Jeweler,0
Apan Jewellery LLC,25.2737112,55.2999215,-0.13606964972424265,0.6139017147416134,3-10 PM,10 AM-10 PM,10 AM-10 PM,10 AM-10 PM,10 AM-10 PM,10 AM-10 PM,10 AM-10 PM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Store,0
Apan Jewellery LLC,25.2737112,55.2999215,-0.13606964972424265,0.6139017147416134,3-10 PM,10 AM-10 PM,10 AM-10 PM,10 AM-10 PM,10 AM-10 PM,10 AM-10 PM,10 AM-10 PM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Store,0
Apan Jewellery LLC,25.2737112,55.2999215,-0.13606964972424265,0.6139017147416134,3-10 PM,10 AM-10 PM,10 AM-10 PM,10 AM-10 PM,10 AM-10 PM,10 AM-10 PM,10 AM-10 PM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Store,0
Apan Jewellery LLC,25.2737112,55.2999215,-0.13606964972424265,0.6139017147416134,3-10 PM,10 AM-10 PM,10 AM-10 PM,10 AM-10 PM,10 AM-10 PM,10 AM-10 PM,10 AM-10 PM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Store,0
Apan Jewellery LLC,25.2737112,55.2999215,-0.13606964972424265,0.6139017147416134,3-10 PM,10 AM-10 PM,10 AM-10 PM,10 AM-10 PM,10 AM-10 PM,10 AM-10 PM,10 AM-10 PM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Store,0
Jewelebrate Jewellery,25.2737112,55.2999215,-0.13606964972424265,0.7629833215108593,10 AM-6:30 PM,10 AM-9:30 PM,Closed,10 AM-6:30 PM,10 AM-6:30 PM,10 AM-6:30 PM,10 AM-6:30 PM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Jeweler,0
Jewelebrate Jewellery,25.2737112,55.2999215,-0.13606964972424265,0.7629833215108593,10 AM-6:30 PM,10 AM-9:30 PM,Closed,10 AM-6:30 PM,10 AM-6:30 PM,10 AM-6:30 PM,10 AM-6:30 PM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Jeweler,0
Jewelebrate Jewellery,25.2737112,55.2999215,-0.13606964972424265,0.7629833215108593,10 AM-6:30 PM,10 AM-9:30 PM,Closed,10 AM-6:30 PM,10 AM-6:30 PM,10 AM-6:30 PM,10 AM-6:30 PM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Jeweler,0
Jewelebrate Jewellery,25.2737112,55.2999215,-0.13606964972424265,0.7629833215108593,10 AM-6:30 PM,10 AM-9:30 PM,Closed,10 AM-6:30 PM,10 AM-6:30 PM,10 AM-6:30 PM,10 AM-6:30 PM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Jeweler,0
Jewelebrate Jewellery,25.2737112,55.2999215,-0.13606964972424265,0.7629833215108593,10 AM-6:30 PM,10 AM-9:30 PM,Closed,10 AM-6:30 PM,10 AM-6:30 PM,10 AM-6:30 PM,10 AM-6:30 PM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Jeweler,0
RAGHEEF SOFARA BAKERY مخبز رغيف السفراء,25.1897338,55.4044333,-0.10607788333073809,0.16665689443387402,6 AM-12 AM,6 AM-1 AM,6 AM-1 AM,6 AM-12 AM,6 AM-12 AM,6 AM-12 AM,6 AM-12 AM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Bakery,0
TERMINAL TYRES REP. SERVICE (Br.2),25.3027234,55.6254911,-0.1371183128848547,-0.4296695326431127,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Shop,0
Nest Hotels Management GmbH,50.10496,8.6882,-0.13124579918542723,0.16665689443387402,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Hotel,2
Khazama Beauty Salon,25.4214217,55.5260366,-0.13669884762060988,0.31573850120312,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Beauty,0
Talking Finance,52.0990062,5.1216442,-0.13124579918542723,0.16665689443387402,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Bank,1
Smartech Building Materials L. L.C,25.2735875,55.3135432,-0.1373280455169771,-0.8769143529508521,8 AM-12:30 PM,8 AM-1:30 PM,Closed,8 AM-1:30 PM,8 AM-1:30 PM,8 AM-1:30 PM,8 AM-1:30 PM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Store,0
Police Station,55.9354422,-4.3163857,-0.13774751078122194,-4.902117735720509,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Office,1
Vic Roofing LLC,38.939556,-84.5404014,-0.13124579918542723,0.16665689443387402,7 AM-5 PM,Closed,Closed,7 AM-5 PM,7 AM-5 PM,7 AM-5 PM,7 AM-5 PM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Service,5
Fazza Flowers UAE Flowers & Gift Shop,25.140218,55.2430907,-0.13124579918542723,0.16665689443387402,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Other,0
MHBH MOHHAMMED HASSAN BABA HASSAN REAL ESTATE,25.2826903,55.3547698,-0.1375377781490995,-1.9204856003355781,8 AM-6 PM,Closed,Closed,8 AM-6 PM,8 AM-6 PM,8 AM-6 PM,8 AM-6 PM,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Agency,0
"Park, نادي الظفرة للرماية حديقة",23.6710367,53.7108939,-0.1375377781490995,1.0611465350493527,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Park,0
All Bar One George St Edinburgh,55.9537725,-3.1970607,0.21712010276989507,-0.4296695326431127,9 AM-1 AM,9 AM-1 AM,9 AM-10:30 PM,9 AM-11 PM,9 AM-11 PM,9 AM-11 PM,9 AM-12 AM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Restaurant,1
Dr. Ahmed El Khashab,25.2339847,55.3182372,-0.1373280455169771,1.0611465350493527,Closed,8 AM-8 PM,9 AM-8 PM,8 AM-8 PM,8 AM-8 PM,8 AM-8 PM,8 AM-8 PM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Other,0
Dr. Ahmed El Khashab,25.2339847,55.3182372,-0.1373280455169771,1.0611465350493527,Closed,8 AM-8 PM,9 AM-8 PM,8 AM-8 PM,8 AM-8 PM,8 AM-8 PM,8 AM-8 PM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Other,0
Dr. Ahmed El Khashab,25.2339847,55.3182372,-0.1373280455169771,1.0611465350493527,Closed,8 AM-8 PM,9 AM-8 PM,8 AM-8 PM,8 AM-8 PM,8 AM-8 PM,8 AM-8 PM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Other,0
Dr. Ahmed El Khashab,25.2339847,55.3182372,-0.1373280455169771,1.0611465350493527,Closed,8 AM-8 PM,9 AM-8 PM,8 AM-8 PM,8 AM-8 PM,8 AM-8 PM,8 AM-8 PM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Other,0
Dr. Ahmed El Khashab,25.2339847,55.3182372,-0.1373280455169771,1.0611465350493527,Closed,8 AM-8 PM,9 AM-8 PM,8 AM-8 PM,8 AM-8 PM,8 AM-8 PM,8 AM-8 PM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Other,0
Dr. Ahmed El Khashab,25.2339847,55.3182372,-0.1373280455169771,1.0611465350493527,Closed,8 AM-8 PM,9 AM-8 PM,8 AM-8 PM,8 AM-8 PM,8 AM-8 PM,8 AM-8 PM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Other,0
Dr. Ahmed El Khashab,25.2339847,55.3182372,-0.1373280455169771,1.0611465350493527,Closed,8 AM-8 PM,9 AM-8 PM,8 AM-8 PM,8 AM-8 PM,8 AM-8 PM,8 AM-8 PM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Other,0
Dr. Ahmed El Khashab,25.2339847,55.3182372,-0.1373280455169771,1.0611465350493527,Closed,8 AM-8 PM,9 AM-8 PM,8 AM-8 PM,8 AM-8 PM,8 AM-8 PM,8 AM-8 PM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Other,0
Dr. Ahmed El Khashab,25.2339847,55.3182372,-0.1373280455169771,1.0611465350493527,Closed,8 AM-8 PM,9 AM-8 PM,8 AM-8 PM,8 AM-8 PM,8 AM-8 PM,8 AM-8 PM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Other,0
Dr Batra’s Homeopathy Clinic,25.2339847,55.3182372,0.11057592565171098,0.16665689443387402,3-9 PM,10 AM-9 PM,12-8 PM,12-9 PM,12-9 PM,12-9 PM,12-9 PM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Other,0
Dr Batra’s Homeopathy Clinic,25.2339847,55.3182372,0.11057592565171098,0.16665689443387402,3-9 PM,10 AM-9 PM,12-8 PM,12-9 PM,12-9 PM,12-9 PM,12-9 PM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Other,0
Dr Batra’s Homeopathy Clinic,25.2339847,55.3182372,0.11057592565171098,0.16665689443387402,3-9 PM,10 AM-9 PM,12-8 PM,12-9 PM,12-9 PM,12-9 PM,12-9 PM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Other,0
Dr Batra’s Homeopathy Clinic,25.2339847,55.3182372,0.11057592565171098,0.16665689443387402,3-9 PM,10 AM-9 PM,12-8 PM,12-9 PM,12-9 PM,12-9 PM,12-9 PM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Other,0
Dr Batra’s Homeopathy Clinic,25.2339847,55.3182372,0.11057592565171098,0.16665689443387402,3-9 PM,10 AM-9 PM,12-8 PM,12-9 PM,12-9 PM,12-9 PM,12-9 PM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Other,0
Dr Batra’s Homeopathy Clinic,25.2339847,55.3182372,0.11057592565171098,0.16665689443387402,3-9 PM,10 AM-9 PM,12-8 PM,12-9 PM,12-9 PM,12-9 PM,12-9 PM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Other,0
Dr Batra’s Homeopathy Clinic,25.2339847,55.3182372,0.11057592565171098,0.16665689443387402,3-9 PM,10 AM-9 PM,12-8 PM,12-9 PM,12-9 PM,12-9 PM,12-9 PM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Other,0
